Epoch,Avg Train Loss,Avg Train Accuracy,Avg Val Loss,Avg Val Accuracy
1,1.55956,42.269999999999996,1.3113,53.174
2,1.0430800000000002,62.814,0.9322800000000001,66.336
3,0.8062400000000001,71.55799999999999,0.7807999999999999,72.486
4,0.66496,76.772,0.66876,76.73599999999999
5,0.5732799999999999,80.078,0.6404400000000001,78.126
6,0.50498,82.47800000000001,0.57278,80.608
7,0.45561999999999997,84.232,0.54054,81.416
8,0.4088,85.69000000000001,0.53576,81.914
9,0.372,86.998,0.5109600000000001,82.74600000000001
10,0.34012000000000003,88.10799999999999,0.51352,82.626
11,0.3078,89.336,0.5103199999999999,83.10800000000002
12,0.28592,90.05199999999999,0.49256,83.86200000000001
13,0.25992,90.96,0.5052399999999999,83.68
14,0.24086000000000002,91.63199999999999,0.50038,84.07000000000001
15,0.22436000000000003,92.172,0.49562,84.832
16,0.20390000000000003,92.84400000000001,0.49138000000000004,84.77400000000002
17,0.19158,93.31599999999999,0.4989,84.884
18,0.182,93.652,0.49582,85.01599999999999
19,0.16592,94.22,0.49668,85.196
20,0.15716,94.494,0.49428,85.54599999999999
