Epoch,Avg Train Loss,Avg Train Accuracy,Avg Val Loss,Avg Val Accuracy
1,2.1497400000000004,16.04,1.88962,24.152
2,1.6999400000000002,34.18599999999999,1.55462,41.386
3,1.41288,47.35600000000001,1.3531199999999999,50.84
4,1.2251400000000001,55.85,1.17524,58.220000000000006
5,1.09116,61.158,1.0713,62.215999999999994
6,0.98514,65.176,0.96624,66.24
7,0.90152,68.49000000000001,0.9071400000000001,68.34400000000001
8,0.8323600000000001,71.00399999999999,0.87926,69.458
9,0.78058,72.796,0.84612,70.77000000000001
10,0.7268600000000001,74.78399999999999,0.79478,73.026
11,0.68264,76.348,0.78512,73.452
12,0.6475799999999999,77.674,0.76162,74.528
13,0.6095200000000001,78.81800000000001,0.7500199999999999,74.65799999999999
14,0.57538,80.076,0.72386,75.934
15,0.54574,81.074,0.7425399999999999,74.99600000000001
16,0.5179400000000001,81.99600000000001,0.7324200000000001,75.85
17,0.48929999999999996,82.994,0.7074,76.634
18,0.46498,83.77799999999999,0.72546,76.30199999999999
19,0.44196,84.58600000000001,0.7219599999999999,76.836
20,0.42250000000000004,85.25399999999999,0.7353799999999999,76.72
