Epoch,Avg Train Loss,Avg Train Accuracy,Avg Val Loss,Avg Val Accuracy
1,1.5058799999999999,44.748,1.53888,48.273999999999994
2,1.02762,63.318,1.06926,63.338
3,0.7868999999999999,72.32999999999998,0.8561399999999999,70.89
4,0.6618799999999999,76.928,0.73532,74.852
5,0.57826,79.834,0.76708,74.41600000000001
6,0.51712,82.03399999999999,0.6945,77.33
7,0.46484000000000003,83.84400000000001,0.64474,78.646
8,0.42882,85.13199999999999,0.6231,79.06199999999998
9,0.39496,86.26400000000001,0.52636,82.324
10,0.36058,87.522,0.53346,82.226
11,0.33682,88.22,0.48612,83.734
12,0.31494000000000005,88.97200000000001,0.50922,83.33399999999999
13,0.29403999999999997,89.71,0.48267999999999994,84.13199999999999
14,0.27375999999999995,90.49600000000001,0.43448000000000003,85.686
15,0.25672,91.024,0.47417999999999993,84.52200000000002
16,0.24114,91.56400000000001,0.43968000000000007,85.744
17,0.22834000000000004,92.00399999999999,0.44686000000000003,85.65
18,0.21448,92.47200000000001,0.45006,85.762
19,0.20238,92.906,0.41498,87.01599999999999
20,0.1922,93.232,0.4465,86.14
