Epoch,Avg Train Loss,Avg Train Accuracy,Avg Val Loss,Avg Val Accuracy
1,1.99668,28.901999999999997,1.8208199999999999,34.285999999999994
2,1.53406,43.166,1.6702199999999998,41.486
3,1.3151199999999998,52.134,1.5905599999999998,45.846000000000004
4,1.1187799999999999,59.79600000000001,1.37096,54.17
5,0.9720000000000001,65.42,1.11526,61.076
6,0.8589600000000001,69.734,0.9119800000000001,68.172
7,0.7616,73.324,0.91934,68.47
8,0.6773199999999999,76.298,0.92492,68.944
9,0.61132,78.706,0.7459000000000001,74.576
10,0.5595199999999999,80.58,0.6664,77.572
11,0.51418,82.12,0.75184,74.978
12,0.4795999999999999,83.362,0.67698,76.79400000000001
13,0.44699999999999995,84.526,0.59468,79.786
14,0.4156599999999999,85.54400000000001,0.6028800000000001,79.776
15,0.39442000000000005,86.30199999999999,0.5645800000000001,80.83399999999999
16,0.37562,86.978,0.52752,82.242
17,0.35722,87.632,0.54348,81.88199999999999
18,0.34434000000000003,88.07600000000001,0.5272,82.53200000000001
19,0.32952,88.578,0.5738000000000001,81.17999999999999
20,0.31678,89.05799999999999,0.52884,82.426
